Code,Type,Condition,Recovery
-1,hard error,Over temperature protection has operated,Over temperature protection has been activated. Fluid temperature in or near heater was higher than the set OTP temperature
-2,hard error,The software version could not be read,
-4,hard error,Upper alarm temperature in fluid outlet or bath has been reached Parameters critically set . Over swing / load change,
-5,hard error,Lower alarm temperature in fluid outlet or bath has been reached Parameters critically set . Over swing / load change,
-6,hard error,Upper alarm temperature in process has been reached Parameters critically set . Over swing / load change,
-7,hard error,Lower alarm temperature in process has been reached. Parameters critically set . Over swing / load change,
-9,hard error,Internal Pt100 faulty,
-10,hard error,Process Pt100 faulty,
-11,hard error,Condensing temperature Pt100 faulty,Condensation temperature Pt100 OK
-14,hard error,Condensation Temperature monitor,Cooling Water or air supply insufficient / environment or water temperature too high
-15,hard error,Variable speed pump fault,Pump is activated but rpm can not be measured. There is no speed impulse measured from the motor. Possible motor or controller fault. Replace controller / motor as required
-16,hard error,The high pressure cut out pressostat of the HT-stage has been triggered,
-17,hard error,The low pressure cut out pressostat of the HT-stage has been triggered,
-36,hard error,The temperature in the expansion vessel has risen above 90 °C,External Communication not ok. Data transfer too fast . Monitor timings . Externe Kommunikation fehlerhaft. Unistat Pilot and Control software not compatible. The Pilot and Controller software is not compatible. Flash both with a compatible software. Unistat Pilot und Control Software nicht kompatibel
-41,hard error,The error contact of the pump has triggered The pump has stopped caused to an error,
-42,hard error,Fluid return Pt100 sensor faulty,Return Pt100 sensor ok
-43,hard error,HT stage evaporator end Pt100 sensor faulty,
-45,hard error,NTR-Transistor 1 failed,The transistor driving the BusBoard NTR relay is faulty. Replace controller. NTR Transistor 1 defekt
-46,hard error,NTR-Transistor 2 failed,The transistor driving the BusBoard NTR relay is faulty. Replace controller. NTR Transistor 2 defekt
-48,hard error,The evaporation pressure too low,Either a stuck stepper motor or expansion valve.  or lack of refrigerant.  or a controller fault. Check the refrigerant sight glass for bubbles. It should be full with no bubbles. Check controller by replacement
-49,hard error,Evaporation pressure too high. (MOP monitor),The evaporation pressure is too high (Above the MOP value). Has the compressor started
-50,hard error,The superheat is too low,The difference between the evaporation and evaporator end temperatures was too small. Poor fluid flow.  incorrect oil or fluid.  or impurities in the oil can cause this effect. Also faulty sensors and/or incorrect parallel evap operation. Error in comparison of the unit and controller EEPROMs. 3 sets of data were not the same. A/D converter Reference out of range. This is a hardware error in the Controller. The controller should be exchanged
-54,hard error,Pump and UNIPUMP not synchronised,Internal pump and external Unipump do not run together. Is the POKO programming ok
-55,hard error,Com.G@te sees a level sensor fault,Level input plausibility control not okay Pin 3 measures data.  although Pin 1 senses no sensor is connected. Possible Com.G@te fault. Test by replacement
-56,hard error,Faulty pump speed measured,The pump apparently rotates although it should be turned off Fehlerhafte Pumpendrehzahl gemessen
-57,hard error,Set point tracking is chosen but process sensor not present,The Set point tracking requires a valid process temperature measurement at the Lemosa connector.  but this sensor is not connected
-58,hard error,Standby current too high,Something is drawing too much current in the standby condition. Check for stuck relays. Standby Strom zu hoch
-59,hard error,Pump current too high,The pump is drawing too much current when running. Check supply voltage and fluid viscosity. Possible pump motor fault. Check it rotates freely when turned by hand Pumpenstrom zu hoch. The input voltage on one channel of the AD converter has measured an out of range input voltage (OVR Bit is set)
-61,hard error,100 Ohm Ref Resistor fault,An error has occurred during the measurement of a reference resistor. (100 ohm Resistor in controller)This reference resistor is inside the controller. Replace the controller
-62,hard error,150 Ohm Ref resistor fault,An error has occurred during the measurement of a reference resistor. (150 ohm Resistor in controller)This reference sensor is inside the controller. Replace the controller
-63,hard error,Pump pressure has dropped severely during temperature control,Air / gas in the pump. Leakage. Boiling in fluid. HTF contaminated or de-natured. Internal A/D data transfer faulty. The data transmission between the 24 bit AD-converter and the processor is faulty. Faulty controller. Exchange to check. No stepper motor module. A stepper motor module was recognised but is not responding anymore. Faulty module or CAN-Bus problem. Check connections
-67,hard error,During de-gassing, pump pressure no longer reached. Despite switching off the heater and fluid cooling During de-gassing.  no pump pressure could be measured over several minutes
-68,hard error,The source, defined as Internal temperature sensor.  is not showing valid values. Please check the defined internal temperature source: 'Internal Pt100.  External Pt100.  analogue input or digital interface'
-69,hard error,The source, defined as External temperature sensor.  is not showing valid values. Please check the defined external temperature source: 'External Pt100.  analogue input or digital interface'. Despite several attempts the EEPROM cannot be read. Despite several attempts the EEPROM cannot be written
-72,hard error,The mains frequency could not be detected,It could not be decided with certainty if the time between interrupts is for a mains frequency of 50Hz or 60Hz.Possible BusBoard or controller problem. Change controller and if not successful replace BusBoard. Possible noise on mains. Try a different power point. The measured AD values are not plausible (strong oscillations)
-74,hard error,OT to Pt100 difference temp more than 30K,There is an unusually large temperature difference in the hydraulic circuit between heaters and outlet. Heating is stopped to prevent high heater surface temperatures. Circulation very poor. Thermal oil very viscous
-75,hard error,The level monitoring (ComG@ate) is too low,Refill HTF. Leakage. Check float or level switch
-76,hard error,The pressostat of the HT-stage has been triggered,Insufficient machine cooling. Check cooling water flow and filter. Check cooling air for good flow.  and fans for correct operation and that condenser fins are clean and unobstructed
-77,hard error,Over temperature in the expansion vessel,Expansion vessel temperature typically rises too high when the fluid or contaminants in it boils. Fluid Contamination or aging. Monitor temperature in expansion vessel when heating. During the current test the NTR was not open. The supply frequency could not be measured during the current test. The supply voltage could not be measured during the current test
-81,hard error,Com.G@te missing,The Com.G@te cannot be found (any more) even though it should be connected e.g. with ECS/AIF input. Check Com.G@te connection to machine. Replace Com.G@te Com.G@te fehlt
-82,hard error,Current test impossible due OT trip,Due to an over temperature trip.  the machine cannot do the start up current test. Turn off the machine and let it cool down. Otherwise increase the OT trip setting.  then turn machine off and on again to reset the alarm. Incompatible Pilot/Controller software. The data structures that should be exchanged between the controller and the control panel are not compatible. Controller and control panel software are not compatible. Flash Controller and Pilot with compatible software. Inkompatible Pilot/Regler Software
-84,hard error,An automation system has programmed the watchdog as a protection system. The agreed refresh time has been exceeded, thus causing a pre-programmed reaction. RS-Watchdog WD1
-85,hard error,T-internal to T-process difference too large,The temperature difference between the intern- and extern sensors is unacceptably large. Sensor fault. Is the External sensor actually in the reactor
-86,hard error,NTR (power isolation relay) failed,A current increase was seen when heating is activated with opened NTR. Faulty Relay (stuck closed .) Inspect relays. Faulty controller. Check by substitution. Faulty BusBoard. Check by replacement
-87,hard error,Heater SSR failed,Recognised a current increase with deactivated heating and a closed NTR. Replace Opto (Solid state relay)
-88,hard error,Heater 1 (main heater) failed,No sufficient current increase was detected when heating 1 is activated. Check controller by replacement.  Check heater wiring.  check heater resistance.  check SSR and power supplies Heizung 1 (Hauptheizung) fehlerhaft
-89,hard error,Heater 2 (Fine heater) failed,No sufficient current increase was detected when heating 2 is activated. Check controller by replacement.  check heater wiring.  Check heater resistance.  check SSR and power supplies. Heater 1 (main heater) current does not drop. Despite a certain holding time.  the current has not reduced enough after deactivation of heating 1 (main heater) to be able to start with the test of heating 2 (Fine heater). Leakage through the heating SSR. Check by measurement
-91,hard error,The firmware is not compatible with this machine,The firmware does not recognise the machine. Pilot ONE® exchanged for one with an older software. Update the firmware
-92,hard error,Hardware / software incompatibility,The software does not know the level of the controller hardware. Old software. Try flashing new software on Controller and Pilot. Possible communications problem between controller and Pilot. Replace with a known working pair. Hardware / Software Inkompatibilität
-93,hard error,Hardware / software incompatibility,The software does not recognize the machine and does not know the level of the controller hardware. Old software. Try flashing new software on Controller and Pilot. Possible communications problem between controller and Pilot. Replace with a known working pair. Hardware / Software Inkompatibilität
-94,hard error,The firmware does not recognise the machine,Pilot ONE with too old a firmware exchanged. Update firmware. Controller and Pilot software versions are not compatible
-96,hard error,Pilot adjustment memory inconsistent,
-97,hard error,Machine parameter memory inconsistent,Loss of essential machine data (SimFile)
-98,hard error,Pilot parameter memory inconsistent,Loss of essential machine data (Controller file). The NTR-Relay (power isolation relay) stuck. Possible Controller problem.  test by replacement. Possible BusBoard problem. Replace Busboard. Das NTR relais (Netztrennrelais) hängt. mains frequency recognition was cancelled after a timeout. Possible BusBoard problem.  test by replacement. Possible Controller problem. Test by replacement
-101,hard error,The SSR blocks the positive half cycle Replace Opto (Soid state relay),
-102,hard error,The SSR blocks the negative half cycle Replace Opto (Soid state relay),
-103,hard error,During the current test, It was not clear if an AC or a three phase connection is connected
-104,hard error,Standby current draw outside tolerance,The standby current draw during the current measurement of a CC400/CC401 is widely different to the set value (5V). Check all cable connections and plugs. Possible stuck relay or active board problem. The standby current draw during the current measurement of a CC400/CC401 is widely different to the set value (5V)
-105,hard error,the start-up current test failed CC400/CC401,Check all cable connections and plugs. Possible stuck relay or active board problem
-106,hard error,Feedback from contactor KM10 has tripped,
-107,hard error,Circuit breaker (Fan) QM10.1 or QM10.2 has tripped,
-108,hard error,Feedback from contactor (Fan) KM10.1 or KM10.2 has tripped,
-109,hard error,Circuit breaker compressor HT (QV1.1 or QV1.2) has tripped,
-110,hard error,150 Ohm reference measurement voltage out of range,The 150 Ohm reference resistor for the Pt100 temperature measurement is within the controller. Possible controller fault - test by replacement. Possible Pt100 fault - check insulation to earth (greater than 20 MegOhm) Check Pt100 resistance. If faulty.  replace
-111,hard error,100 Ohm reference measurement voltage out of range,The 100 Ohm reference resistor for the Pt100 temperature measurement is within the controller. Possible controller fault - test by replacement Possible Pt100 fault check insulation to earth (greater than 20 MegOhm) Check Pt100 resistance. If faulty.  replace
-112,hard error,Reserve sensor measurement voltage out of range,Input voltage to the reserve sensor is out of range.  Possible controller problem or bad connections. or Pt100 leakage to earth. Check and replace if necessary
-113,hard error,Sensor 3 (Tangoboard Pt_T3) measurement voltage out of range,The sensor 3 on tango board X1: 7-9 voltage out of range. Possible controller problem or bad connections. or Pt100 leakage to earth. Check and replace if necessary
-114,hard error,Return flow Pt100 sensor meaurement voltage out of range,Fluid Return Pt100 sensor 4 Pt T4 X1:10-12 measurement voltage out of range. Sensor faulty or bad connections. Check and replace if necessary
-115,hard error,Pt100 Sensor 2 input voltage out of range,Pt100 sensor 2 on Tango board PT_T4.  X1:4-6. Sensor faulty or bad connections. Check and replace if necessary
-116,hard error,Process Pt100 input voltage out of range,Process Pt100 input voltage out of range. Sensor faulty or bad connections. Check and replace if necessary.  Sensor faulty or bad connections. Check and replace if necessary
-117,hard error,Fluid outlet Pt100 sensor 1 input voltage out of range,Fluid outlet Pt100 on Tango board Pt_T1. X1:1-3. Sensor faulty or bad connections. Check and replace if necessary
-118,hard error,No over temperature trip present,Controller faulty.  check by replacement. Over temp board fault. Or bad connection to flatband cable
-119,hard error,AD7738 could not be initialized,EEPROM of the over temperature trip is blank. The over temperature board is a part of the controller.  so the controller is faulty. check by replacement. Error during writing to the over temperature EEPROM. The over temperature board is a part of the controller.  so the controller is faulty. check by replacement. error during reading from the over temperature EEPROM. The over temperature board is a part of the controller.  so the controller is faulty. check by replacement. Error during 2 out of 3 comparison of over temperature EEPROM. The over temperature board is a part of the controller.  so the controller is faulty. check by replacement. over temperature trip was reset by the processor Watchdog. The over temperature board is a part of the controller.  so the controller is faulty. check by replacement. over temperature trip was reset by the EEPROM Watchdog. The over temperature board is a part of the controller.  so the controller is faulty. check by replacement. over temperature (OT) sensor 1 (heating 1 - Main heater). Pt1000 Sensor faulty - open or short circuit. Check connections and sensor. Replace if necessary
-127,hard error,over temperature trip sensor 1 has a short circuit (Main heater) Pt1000 short circuit. Replace sensor,
-128,hard error,over temperature trip sensor 1 is open circuit (Main heater),
-129,hard error,Over temperature protection (sensor 2) has operated,Over temperature protection has been activated. Fluid temperature in or near heater was higher than the set OTP temperature
-130,hard error,over temperature trip sensor 2 has a short circuit (Fine heater),
-131,hard error,over temperature trip sensor 2 is open circuit (Fine heater),Pt1000 open circuit or wiring or connector fault. Check connections and sensor. Replace sensor if necessary
-132,hard error,over temperature (OT) sensor 3 (Expansion vessel),The expansion tank can overheat if the thermal fluid or impurities in it boil. In this case try de-gassing the oil by slowly raising its temperature with the de-gassing turned on. The OT trip temperature must be suitably above the room temperature. It can be set to a maximum of 70°C.If the tank is not hot.  then possibly the Pt1000 Sensor is faulty. Check connections and sensor. Replace if necessary
-133,hard error,over temperature sensor 3 (Expansion vessel) has a short circuit Pt1000 short circuit. Replace sensor,
-134,hard error,over temperature trip sensor 3 (Expansion vessel) is open circuit,Possible wiring or connector fault or Pt1000 open circuit. Check connections and sensor. Replace sensor if necessary
-135,hard error,over temperature (OT) reference resistor,
-136,hard error,reference resistor (OT) has a short circuit,faulty OT board. Replace Controller
-137,hard error,reference sensor (OT) is open circuit,faulty OT board. Replace Controller
-138,hard error,Set point for the over temperature sensor 1 fluctuates Possible controller fault. Test by replacement,
-139,hard error,Set point for the over temperature sensor 2 fluctuates Possible controller fault. Test by replacement,
-140,hard error,Set point for the over temperature sensor 3 fluctuates Possible controller fault. Test by replacement,
-141,hard error,No CAN-communication with over temperature module,Faulty OT board or flatband cable. Replace controller. Keine CAN Kommunikation mit Übertemperatur Modul. over temperature module signal present (Meander) but no CAN message received. Possible controller fault. Test by replacement
-143,hard error,The pressostat of the LT-stage has triggered,Insufficient power in HT or MT stage. Check cooling water and HT or MT stage refrigerant sight glass. There should be no bubbles. Possible HT or MT stage refrigerant leak
-144,hard error,The pressostat of the MT-level has triggered,Insufficient power in HT stage. Check cooling water and HT stage refrigerant sight glass. There should be no bubbles. Possible HT stage refrigerant leak
-145,hard error,The signalling contact of the HT-compressor has triggered,HT compressor relay has apparently dropped out. Check signalling contact.  wiring and connectors. Check everything in series with relay coil (Requires circuit diagram) Possible controller problem. Check by replacement
-146,hard error,The signalling contact of the MT-compressor has triggered,MT compressor relay has apparently dropped out. Check signalling contact.  wiring and connectors. Check everything in series with relay coil (Requires circuit diagram). Possible controller problem. Check by replacement
-147,hard error,The signalling contact of the LT-compressor has triggered,LT compressor relay has apparently dropped out. Check signalling contact.  wiring and connectors. Check everything in series with relay coil (Requires circuit diagram). Possible controller problem. Check by replacement
-148,hard error,reporting contact of pump contactor (KM1) has caused an error,Pump motor relay has apparently dropped out. Check signalling contact.  wiring and connectors. Check everything in series with relay coil (Requires circuit diagram). check mains power supply and phase relay. Possible controller problem. Check by replacement
-149,hard error,Power supply to pump motor not okay,The Pump motor Phase relay (F4M1) has triggered. The reason could be that the motor protection relay QP1 was activated.  or a supply phase is missing. Check pump motor over current relay and check power supply connections. Possibly phases incorrect. Reverse two phases on mains supply
-150,hard error,RF4M3 Pt100 compressor outlet gas temperature sensor HT-stage failed,Faulty Pt100 sensor on HT compressor gas outlet. Replace it
-151,hard error,RF4M4 Pt100 compressor outlet gas temperature sensor LT-stage failed,Faulty Pt100 sensor on LT compressor gas outlet. Replace it
-152,hard error,Thermal trip in pump motor M1 (M1F3) has operated,Pump motor is too hot. Check power supply voltage and also fluid viscosity. Possible bearing problems. Check motor rotates freely by hand. Replace motor
-153,hard error,Kriwan. HT-compressor motor temp too high,Kriwan: HT compressor motor windings too hot. Check power supply voltage. Check for bubbles in refrigerant sight glass
-154,hard error,Kriwan. LT-compressor motor temp too high,Kriwan: LT compressor windings too hot. Check power supply voltage. Check for bubbles in refrigerant sight glass
-155,hard error,Oil pressure of HT-compressor too low,Possible HT compressor or oil separator problem. Machine running at low loading for long periods. The oil pressure of the LT-compressor is too low. Possible LT compressor or oil separator problem. Machine running at low loading for long periods
-157,hard error,HT compressor 1st stage problem,The relay for the 1st stage of the 2 stage HT compressor has dropped out.  or has a bad contact on the status contact of relay. Check relay and all components in series with relay coil. Possible Controller problem. Check by replacement. LT compressor 1st stage problem. The relay for the 1st stage of the 2 stage LT compressor has dropped out or has a bad contact on the status contact of relay. Check relay and all in series with relay coil. Possible Controller problem. Check by replacement
-159,hard error,HT compressor 2nd stage problem,The relay for the 2nd stage of the 2 stage HT compressor has dropped out or has a bad contact on the status contact of relay. Check relay and all in series with relay coil. Possible Controller problem. Check by replacement. LT compressor 2nd stage problem. The relay for the 2nd stage of the 2 stage LT compressor has dropped out or has a bad contact on the status contact of relay. Check relay and all in series with relay coil. Possible Controller problem. Check by replacement
-161,hard error,DEM1 does not respond,CAN-Bus or DEM1 (Digital input) module problem
-162,hard error,DEM2 does not respond,CAN-Bus or DEM2 (Digital input) module problem
-163,hard error,DEM3 does not respond,CAN-Bus or DEM3 (Digital input) module problem
-164,hard error,DEM4 does not respond,CAN-Bus or DEM4 (Digital input) module problem
-165,hard error,DAM1 does not respond,CAN-Bus or DAM1 (Digital output) module problem
-166,hard error,DAM2 does not respond,CAN-Bus or DAM2 (Digital output) module problem
-167,hard error,DAM3 does not respond,CAN-Bus or DAM3 (Digital output) module problem
-168,hard error,DAM4 does not respond,CAN-Bus or DAM4 (Digital output) module problem
-169,hard error,The input 1 of the DEM1 is fluttering,Intermittent contact at input 1 of DEM1 (Digital input module)
-170,hard error,The input 2 of the DEM1 is fluttering,Intermittent contact at input 2 of DEM1 (Digital input module)
-171,hard error,The input 3 of the DEM1 is fluttering,Intermittent contact at input 3 of DEM1 (Digital input module)
-172,hard error,The input 4 of the DEM1 is fluttering,Intermittent contact at input 4 of DEM1 (Digital input module)
-173,hard error,The input 1 of the DEM2 is fluttering,Intermittent contact at input 1 of DEM2 (Digital input module)
-174,hard error,The input 2 of the DEM2 is fluttering,Intermittent contact at input 2 of DEM2 (Digital input module)
-175,hard error,The input 3 of the DEM2 is fluttering,Intermittent contact at input 3 of DEM2 (Digital input module)
-176,hard error,The input 4 of the DEM2 is fluttering,Intermittent contact at input 4 of DEM2 (Digital input module)
-177,hard error,The input 1 of the DEM3 is fluttering,Intermittent contact at input 1 of DEM3 (Digital input module)
-178,hard error,The input 2 of the DEM3 is fluttering,Intermittent contact at input 2 of DEM3 (Digital input module)
-179,hard error,The input 3 of the DEM3 is fluttering,Intermittent contact at input 3 of DEM3 (Digital input module)
-180,hard error,The input 4 of the DEM3 is fluttering,Intermittent contact at input 4 of DEM3 (Digital input module)
-181,hard error,The input 1 of the DEM4 is fluttering,Intermittent contact at input 1 of DEM4 (Digital input module)
-182,hard error,The input 2 of the DEM4 is fluttering,Intermittent contact at input 2 of DEM4 (Digital input module)
-183,hard error,The input 3 of the DEM4 is fluttering,Intermittent contact at input 3 of DEM4 (Digital input module)
-184,hard error,The input 4 of the DEM4 is fluttering,Intermittent contact at input 4 of DEM4 (Digital input module)
-185,hard error,DEM1 Timeout,DEM1 (Digital input module) signals no data received from Controller in last 30s - CAN problem
-186,hard error,DEM2 Timeout,DEM2 (digital input module) signals no data received from Controller in last 30s - CAN problem
-187,hard error,DEM3 Timeout,DEM3 (Digital input module) signals no data received from Controller in last 30s - CAN problem
-188,hard error,DEM4 Timeout,DEM4 (digital input module) signals no data received from Controller in last 30s - CAN problem
-189,hard error,DAM1 Timeout,DAM1 (digital output module) signals no data received from Controller in last 30s - CAN problem
-190,hard error,DAM2 Timeout,DAM2 (digital output module) signals no data received from Controller in last 30s - CAN problem
-191,hard error,DAM3 timeout,DAM3 (digital output module) signals no data received from Controller in last 30s - CAN problem. empfangen hat - CAN Problem
-192,hard error,DAM4 Timeout,DAM4 (digital output module) signals no data received from Controller in last 30s - CAN problem
-193,hard error,DEM1 error,The DEM1 reports an error DEM1 Fehler
-194,hard error,DEM2 error,The DEM2 reports an error DEM2 Fehler
-195,hard error,DEM3 error,The DEM3 reports an error DEM3 Fehler
-196,hard error,DEM4 error,The DEM4 reports an error DEM4 Fehler
-197,hard error,DAM1 error,The DAM1 reports an error DAM1 Fehler
-198,hard error,DAM2 error,The DAM2 reports an error DAM2 Fehler
-199,hard error,DAM3 error,The DAM3 reports an error DAM3 Fehler
-200,hard error,DAM4 error,The DAM4 reports an error DAM4 Fehler
-201,hard error,HT-compressor outlet gas temp is too high,HT Compressor Gas outlet temp to high. Check cooling water has sufficient flow.  check sufficient DIFFERENTIAL water pressure and it is connected the right way. Possible lack of refrigerant. Check HT compressor refrigerant sight glass. It should be full and no bubbles
-202,hard error,LT-compressor outlet gas temp is too high,LT Compressor Gas outlet temp to high. Check cooling water has sufficient flow.  check sufficient DIFFERENTIAL water pressure and it is connected the right way. Possible lack of refrigerant. Check LT compressor refrigerant sight glass. It should be full and no bubbles
-203,hard error,Pump does not stop,The pump should have been shut down but the rpm 0 was never reached. Pump does not appear to stop. Change controller. Change pump motor. Pumpe stoppt nicht
-204,hard error,Pump motor tripped by OT event,Fluid temperature too high above OT trip value. Machine power disconnected by a motor protection switch. Check Over temperature settings. Reset switch by hand
-205,hard error,Poor fluid flow,the difference between 2 of the 3 sensors OT-Heater.  OT-Fine Heater.  and the fluid outlet is greater that 30K with a pump which has been running for more than 60s. Possibly poor fluid flow giving a large difference between heater and outlet temperatures. Check for closed valves or other reasons for bad fluid flow in the application. The heater turns off under these conditions. Pump pressure threshold value mem. area was overwritten. Possible software problem
-207,hard error,HT Compressor phase relay,The Phase sensitive relay of the compressor HT-stage has responded. Power supply to compressor incorrect. Check phases.  and correct connection. Phasenfolgerelais des HT Kompressors
